Run,Patients_Seen,Mean_Q_Time_Consult_One,Mean_Q_Time_Consult_Two,Mean_Duration_Consult_One,Mean_Duration_Consult_Two,Mean_Duration_Diagnostics,Mean_Duration_Discharge,Mean_Time_UTC,Mean_Less4h
80,158,91.47549255794925,120.59420446722214,33.84745390986256,20.182714311455968,40.06240426263415,15.223157297744388,164.58170999256603,0.8544303797468354
81,135,109.34224011436037,116.9958969549157,41.14320481739262,10.890139282862984,32.46076138922974,13.919823674574005,182.2215794537724,0.8444444444444444
82,168,36.20963406872291,39.17783406514714,31.188215642331574,24.603650915475622,32.14816002253374,13.916246462663313,91.02126263237055,0.9880952380952381
83,163,22.455561386238674,30.737870802191736,31.751376954783048,19.916983268956198,41.01279833799726,15.449775618915059,83.15379161527103,0.9877300613496932
84,170,32.94747395420324,31.588118882501423,32.876220562948625,17.350958603133897,32.06611934272892,16.84756825026331,90.77178245025159,0.9941176470588236
85,157,52.56636209409584,54.585460780179744,34.05832239845044,19.631408831298707,40.68385980833398,13.553513885835818,112.61967863403058,0.9490445859872612
86,150,59.438932714925926,55.85945934236076,36.27218602721065,14.564749151623586,61.646703299954304,12.72410071528031,125.16420161798243,0.96
87,154,61.24892273677914,62.48077898485983,35.52501046604403,17.087431208774163,33.41907411782974,13.03177476243129,120.81096293065677,0.9545454545454546
88,157,47.87018039396165,55.728020050629766,33.46783922582981,15.046701741372605,36.84147918558253,14.150384476201351,104.39929971834061,0.9681528662420382
89,149,63.27798791083415,69.21540046549589,36.55003882329481,20.373946133357997,39.33551664666862,15.065250683299084,126.14175541871525,0.9530201342281879
90,172,16.335122848825204,17.398513350142583,31.342060242839306,15.564085373561815,49.35825244987904,15.322919339972655,74.00812322810471,0.9825581395348837
91,139,9.05929745662329,5.381836611933674,36.663901809516815,23.867582498710604,33.674067696571036,15.43208152533189,66.58752425684311,0.9928057553956835
92,168,19.369299307778196,14.679165292795162,32.78832940742711,16.312626383860596,41.98586609881862,16.08954810081302,77.36938403795263,0.9940476190476191
93,134,81.76534587805615,72.00507250527905,40.59381623965263,18.314565891658127,63.52324806596447,15.455188453751674,152.73940672084643,0.8656716417910447
94,141,24.51083830650539,26.891018723822036,36.08840658735179,30.53459253087089,47.088247812121885,15.511439173017038,83.52301449714477,0.9716312056737588
95,141,19.94144981507944,24.712209639391073,32.82601523299168,18.87844096510734,58.835021083477706,16.623480780271855,78.10802426987286,1.0
96,132,108.06446173813383,140.8715410369781,41.71968949035058,24.57721265350252,42.17069003462271,16.16837205198919,180.10839444354883,0.7575757575757576
97,156,45.652250300332,41.65872673390389,33.631736182127966,23.284089237116657,35.0903031523927,13.33508761617563,102.23764324511764,0.967948717948718
98,138,47.483583229440484,80.39436885184679,37.09465236677047,15.092966965039418,52.10460715862772,14.236794504967047,108.44059159958108,0.9637681159420289
